2024-05-05 14:40:17,684 - root - INFO - Starting the process...
2024-05-05 14:40:17,768 - root - INFO - Training and hyperparameter tuning starts.
2024-05-05 14:40:17,768 - optuna.storages._in_memory - INFO - A new study created in memory with name: no-name-f08fd999-7db3-4f65-b66d-6374919f7f16
2024-05-05 14:40:21,381 - root - INFO - New best model saved with score: 0.0003814624797087163
2024-05-05 14:40:21,381 - optuna.study.study - INFO - Trial 0 finished with value: 0.0003814624797087163 and parameters: {'batch_size': 64, 'num_layers': 4, 'hidden_dim': 128, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 32, 'lr': 0.002265370746003531, 'tw': 30}. Best is trial 0 with value: 0.0003814624797087163.
2024-05-05 14:40:21,675 - root - INFO - New best model saved with score: 0.0003527126391418278
2024-05-05 14:40:21,675 - optuna.study.study - INFO - Trial 1 finished with value: 0.0003527126391418278 and parameters: {'batch_size': 32, 'num_layers': 2, 'hidden_dim': 64, 'meta_hidden_dim1': 128, 'meta_hidden_dim2': 256, 'lr': 0.000177898690561262, 'tw': 30}. Best is trial 1 with value: 0.0003527126391418278.
2024-05-05 14:40:22,233 - optuna.study.study - INFO - Trial 2 finished with value: 0.00036044802982360125 and parameters: {'batch_size': 32, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 128, 'lr': 0.0013833556827954415, 'tw': 30}. Best is trial 1 with value: 0.0003527126391418278.
2024-05-05 14:40:22,549 - optuna.study.study - INFO - Trial 3 finished with value: 0.012487053871154785 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 128, 'meta_hidden_dim1': 32, 'meta_hidden_dim2': 32, 'lr': 0.00027941994502776274, 'tw': 40}. Best is trial 1 with value: 0.0003527126391418278.
2024-05-05 14:40:23,017 - root - INFO - New best model saved with score: 0.00033878994872793555
2024-05-05 14:40:23,017 - optuna.study.study - INFO - Trial 4 finished with value: 0.00033878994872793555 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 128, 'meta_hidden_dim2': 256, 'lr': 0.007011176130265042, 'tw': 20}. Best is trial 4 with value: 0.00033878994872793555.
2024-05-05 14:40:23,315 - root - INFO - New best model saved with score: 0.0003288137959316373
2024-05-05 14:40:23,315 - optuna.study.study - INFO - Trial 5 finished with value: 0.0003288137959316373 and parameters: {'batch_size': 32, 'num_layers': 2, 'hidden_dim': 128, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 256, 'lr': 0.000236374876107781, 'tw': 20}. Best is trial 5 with value: 0.0003288137959316373.
2024-05-05 14:40:23,628 - root - INFO - New best model saved with score: 0.0002817359345499426
2024-05-05 14:40:23,629 - optuna.study.study - INFO - Trial 6 finished with value: 0.0002817359345499426 and parameters: {'batch_size': 16, 'num_layers': 2, 'hidden_dim': 32, 'meta_hidden_dim1': 128, 'meta_hidden_dim2': 128, 'lr': 0.0008856758887124411, 'tw': 30}. Best is trial 6 with value: 0.0002817359345499426.
2024-05-05 14:40:24,490 - optuna.study.study - INFO - Trial 7 finished with value: 0.00032676756381988525 and parameters: {'batch_size': 16, 'num_layers': 4, 'hidden_dim': 256, 'meta_hidden_dim1': 32, 'meta_hidden_dim2': 128, 'lr': 0.002506498374786163, 'tw': 30}. Best is trial 6 with value: 0.0002817359345499426.
2024-05-05 14:40:24,820 - optuna.study.study - INFO - Trial 8 finished with value: 0.00859108380973339 and parameters: {'batch_size': 32, 'num_layers': 3, 'hidden_dim': 32, 'meta_hidden_dim1': 32, 'meta_hidden_dim2': 32, 'lr': 0.0004185524613209259, 'tw': 40}. Best is trial 6 with value: 0.0002817359345499426.
2024-05-05 14:40:25,179 - optuna.study.study - INFO - Trial 9 finished with value: 0.00031860641320236027 and parameters: {'batch_size': 128, 'num_layers': 4, 'hidden_dim': 32, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 32, 'lr': 0.0012076848189352062, 'tw': 30}. Best is trial 6 with value: 0.0002817359345499426.
2024-05-05 14:40:25,504 - optuna.study.study - INFO - Trial 10 finished with value: 0.0003776305529754609 and parameters: {'batch_size': 16, 'num_layers': 3, 'hidden_dim': 32, 'meta_hidden_dim1': 128, 'meta_hidden_dim2': 64, 'lr': 0.0005756016072350382, 'tw': 20}. Best is trial 6 with value: 0.0002817359345499426.
2024-05-05 14:40:25,878 - optuna.study.study - INFO - Trial 11 finished with value: 0.0003520109166856855 and parameters: {'batch_size': 128, 'num_layers': 4, 'hidden_dim': 32, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 128, 'lr': 0.0010986462922449505, 'tw': 30}. Best is trial 6 with value: 0.0002817359345499426.
2024-05-05 14:40:26,200 - optuna.study.study - INFO - Trial 12 finished with value: 0.0003002045559696853 and parameters: {'batch_size': 16, 'num_layers': 3, 'hidden_dim': 32, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.0050527497398833495, 'tw': 30}. Best is trial 6 with value: 0.0002817359345499426.
2024-05-05 14:40:26,536 - optuna.study.study - INFO - Trial 13 finished with value: 0.0002997568517457694 and parameters: {'batch_size': 16, 'num_layers': 3, 'hidden_dim': 32, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.009132127081790951, 'tw': 30}. Best is trial 6 with value: 0.0002817359345499426.
2024-05-05 14:40:26,880 - optuna.study.study - INFO - Trial 14 finished with value: 0.000324717431794852 and parameters: {'batch_size': 16, 'num_layers': 3, 'hidden_dim': 64, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.0033771946106711695, 'tw': 30}. Best is trial 6 with value: 0.0002817359345499426.
2024-05-05 14:40:27,204 - optuna.study.study - INFO - Trial 15 finished with value: 0.00032915978226810694 and parameters: {'batch_size': 16, 'num_layers': 3, 'hidden_dim': 32, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.009651757188570628, 'tw': 40}. Best is trial 6 with value: 0.0002817359345499426.
2024-05-05 14:40:27,510 - optuna.study.study - INFO - Trial 16 finished with value: 0.00036025376175530255 and parameters: {'batch_size': 64, 'num_layers': 2, 'hidden_dim': 32, 'meta_hidden_dim1': 128, 'meta_hidden_dim2': 128, 'lr': 0.0006815922028782089, 'tw': 30}. Best is trial 6 with value: 0.0002817359345499426.
2024-05-05 14:40:27,849 - optuna.study.study - INFO - Trial 17 finished with value: 0.0003266325802542269 and parameters: {'batch_size': 16, 'num_layers': 3, 'hidden_dim': 32, 'meta_hidden_dim1': 128, 'meta_hidden_dim2': 128, 'lr': 0.0019419033146779664, 'tw': 30}. Best is trial 6 with value: 0.0002817359345499426.
2024-05-05 14:40:28,159 - root - INFO - New best model saved with score: 0.0002378794306423515
