代码,简称,时间,开盘价(元),最高价(元),收盘价(元),最低价(元),成交量(万股),成交金额(万元),换手率(%),PE市盈率(TTM)
000001.SH,上证指数,1990/12/19,96.05,99.98,99.98,95.79,126,49.43,0.4796,--
000001.SH,上证指数,1990/12/20,104.3,104.39,104.39,99.98,19.7,8.5,0.075,--
000001.SH,上证指数,1990/12/21,109.07,109.13,109.13,103.73,2.8,1.61,0.0107,--
000001.SH,上证指数,1990/12/24,113.57,114.55,114.55,109.13,3.2,3.11,0.0122,--
000001.SH,上证指数,1990/12/25,120.09,120.25,120.25,114.55,1.5,0.65,0.0057,--
000001.SH,上证指数,1990/12/26,125.27,125.27,125.27,120.25,10,5.37,0.0381,--
000001.SH,上证指数,1990/12/27,125.27,125.28,125.28,125.27,6.6,10.46,0.0251,--
000001.SH,上证指数,1990/12/28,126.39,126.45,126.45,125.28,10.8,8.8,0.0411,--
000001.SH,上证指数,1990/12/31,126.56,127.61,127.61,126.48,7.8,6,0.0291,--
000001.SH,上证指数,1991/1/2,127.61,128.84,128.84,127.61,9.1,5.91,0.0356,--
000001.SH,上证指数,1991/1/3,128.84,130.14,130.14,128.84,14.1,9.39,3.1326,2067.4654
000001.SH,上证指数,1991/1/4,131.27,131.44,131.44,130.14,42,26.19,9.3311,2088.2406
000001.SH,上证指数,1991/1/7,131.99,132.06,132.06,131.45,21.7,14.17,4.821,2088.2406
000001.SH,上证指数,1991/1/8,132.62,132.68,132.68,132.06,292.6,180.69,65.0063,2088.2406
000001.SH,上证指数,1991/1/9,133.3,133.34,133.34,132.68,560.3,322.87,124.4807,2098.9632
000001.SH,上证指数,1991/1/10,133.93,133.97,133.97,133.34,999,539.95,221.9457,2109.6859
000001.SH,上证指数,1991/1/11,134.61,134.61,134.6,134.51,"1,332.70",711.57,296.0832,2120.4086
000001.SH,上证指数,1991/1/14,134.11,135.19,134.67,134.11,"1,253.00",688.36,278.3764,2120.4086
000001.SH,上证指数,1991/1/15,134.21,134.74,134.74,134.19,144.6,101.04,32.1255,2120.4086
000001.SH,上证指数,1991/1/16,134.19,134.74,134.24,134.14,50.9,27.01,11.3083,2131.1313
000001.SH,上证指数,1991/1/17,133.67,134.25,134.25,133.65,65.8,33.42,14.6186,2141.8539
000001.SH,上证指数,1991/1/18,133.7,134.25,134.24,133.67,300.4,157.08,66.7392,2152.5766
000001.SH,上证指数,1991/1/21,133.7,134.24,134.24,133.66,205.1,102.93,45.5666,2163.2993
000001.SH,上证指数,1991/1/22,133.72,134.24,133.72,133.66,35.4,18.08,7.8647,2174.0219
000001.SH,上证指数,1991/1/23,133.17,133.72,133.17,133.14,109.5,57.59,24.3274,2184.7446
000001.SH,上证指数,1991/1/24,132.61,133.17,132.61,132.57,185.7,91.74,41.2566,2195.4673
000001.SH,上证指数,1991/1/25,132.05,132.07,132.05,132.03,344.7,172.22,76.5813,2206.19
000001.SH,上证指数,1991/1/28,131.46,131.55,131.46,131.46,510.7,256.56,113.4612,2206.19
000001.SH,上证指数,1991/1/29,130.95,130.97,130.95,130.95,138.7,71.07,30.8147,2206.19
000001.SH,上证指数,1991/1/30,130.44,130.95,130.44,130.41,52.7,26.07,11.7082,2206.19
000001.SH,上证指数,1991/1/31,129.93,130.46,129.97,129.93,51,24.47,11.3306,2206.19
000001.SH,上证指数,1991/2/1,129.5,129.97,129.51,129.45,34.5,14.09,7.6648,2206.19
000001.SH,上证指数,1991/2/4,129.05,129.58,129.05,129.05,55.3,27.37,12.2859,2206.19
000001.SH,上证指数,1991/2/5,128.56,128.58,128.58,128.53,856.2,425.01,190.2202,2206.19
000001.SH,上证指数,1991/2/6,129.13,129.15,129.14,128.06,664.1,384.73,147.5417,2206.19
000001.SH,上证指数,1991/2/7,129.74,129.79,129.79,129.14,213.3,150.48,47.3884,2216.9126
000001.SH,上证指数,1991/2/8,130.36,130.39,130.38,129.79,123.4,87.99,27.4155,2216.9126
000001.SH,上证指数,1991/2/11,130.92,130.97,130.97,130.39,931.7,483.49,206.9938,2216.9126
000001.SH,上证指数,1991/2/12,131.54,131.56,131.35,130.97,377.4,198.7,83.8462,2216.9126
000001.SH,上证指数,1991/2/13,131.93,131.93,131.92,131.35,115.2,67.37,25.5937,2216.9126
000001.SH,上证指数,1991/2/14,132.53,132.53,132.53,132.3,362.4,188.31,80.5137,2216.9126
000001.SH,上证指数,1991/2/19,133.12,133.14,133.13,133.08,174.8,121.62,38.835,2216.9126
000001.SH,上证指数,1991/2/20,133.63,133.67,133.67,133.13,87.6,52.07,19.4619,2216.9126
000001.SH,上证指数,1991/2/21,134.24,134.28,134.28,133.67,322,177.17,71.5381,2216.9126
000001.SH,上证指数,1991/2/22,134.85,134.87,134.87,134.28,342.7,200.38,76.1369,2216.9126
000001.SH,上证指数,1991/2/25,134.37,134.87,134.4,134.33,81,62.1,17.9956,2216.9126
000001.SH,上证指数,1991/2/26,133.9,134.44,133.93,133.9,109.4,254.57,24.3052,2216.9126
000001.SH,上证指数,1991/2/27,133.44,133.98,133.47,133.44,21.4,14.2,4.7544,2216.9126
000001.SH,上证指数,1991/2/28,132.99,133.52,133.01,132.98,225.8,118.8,50.1655,2216.9126
000001.SH,上证指数,1991/3/1,132.53,132.53,132.53,132.47,712.4,377.73,158.2724,2216.9126
000001.SH,上证指数,1991/3/4,132.09,132.09,131.99,131.98,251.8,141.8,55.9419,2228.3055
000001.SH,上证指数,1991/3/5,131.42,131.99,131.46,131.41,98.2,93.47,21.8169,2239.6983
000001.SH,上证指数,1991/3/6,130.89,130.95,130.94,130.89,71.9,134.54,15.9739,2251.0912
000001.SH,上证指数,1991/3/7,130.41,130.94,130.41,130.41,56.8,42.75,12.6191,2262.484
000001.SH,上证指数,1991/3/8,129.84,130.41,129.89,129.84,93.3,54.18,20.7283,2273.8768
000001.SH,上证指数,1991/3/11,129.3,129.89,129.31,129.3,51.4,29.95,11.4194,2273.8768
000001.SH,上证指数,1991/3/12,128.73,129.31,128.77,128.73,95.7,78.31,21.2615,2273.8768
000001.SH,上证指数,1991/3/13,126.13,128.77,126.15,126.13,49.8,41.83,11.064,2273.8768
000001.SH,上证指数,1991/3/14,125.61,126.15,125.63,125.61,32.6,24.26,7.2427,2273.8768
000001.SH,上证指数,1991/3/15,125.08,125.62,125.17,125.08,79,40.35,17.5513,2273.8768
000001.SH,上证指数,1991/3/18,124.7,125.17,124.71,124.69,125,121.04,27.771,2273.8768
000001.SH,上证指数,1991/3/19,124.23,124.71,124.22,124.22,89.2,68.29,19.8174,2273.8768
000001.SH,上证指数,1991/3/20,123.66,124.21,123.66,123.63,67.8,43.31,15.063,2273.8768
000001.SH,上证指数,1991/3/21,123.14,123.66,123.12,123.12,15.1,13.11,3.3547,2273.8768
000001.SH,上证指数,1991/3/22,122.62,123.12,122.62,122.62,20.7,12.01,4.5989,2273.8768
000001.SH,上证指数,1991/3/25,122.12,122.62,122.12,122.1,44.3,32.42,9.842,2273.8768
000001.SH,上证指数,1991/3/26,121.62,122.14,121.62,121.62,116.4,70.9,25.8603,2273.8768
000001.SH,上证指数,1991/3/27,121.12,121.64,121.12,121.12,66.8,36.6,14.8408,2273.8768
000001.SH,上证指数,1991/3/28,120.65,121.15,120.61,120.61,96.1,50.57,21.3503,2273.8768
000001.SH,上证指数,1991/3/29,120.16,120.61,120.19,120.11,218.5,218.62,48.5437,2285.2697
000001.SH,上证指数,1991/4/1,120.69,120.73,120.73,119.68,"1,199.90",566.67,266.5793,2296.6625
000001.SH,上证指数,1991/4/2,121.21,121.29,121.21,120.73,81.6,38.76,18.1289,2308.0554
000001.SH,上证指数,1991/4/3,121.71,121.71,121.71,121.21,206.3,97.72,45.8332,2319.4482
000001.SH,上证指数,1991/4/4,122.2,122.2,121.72,121.24,"1,051.70",504.59,233.654,2330.841
000001.SH,上证指数,1991/4/5,121.07,121.73,121.54,121.03,"1,158.90",603.56,257.4704,2342.2339
000001.SH,上证指数,1991/4/8,121.11,121.11,121.09,121.05,186.2,167.58,41.3677,2353.6267
000001.SH,上证指数,1991/4/9,120.6,121.1,120.62,120.6,32,29.71,7.1094,2365.6897
000001.SH,上证指数,1991/4/10,120.15,120.62,120.16,120.09,46.6,28.12,10.353,2377.7527
000001.SH,上证指数,1991/4/11,119.64,120.16,119.64,119.62,23.9,57.68,5.3098,2377.7527
000001.SH,上证指数,1991/4/12,119.2,119.65,119.21,119.15,39.9,30.13,8.8645,2389.8157
000001.SH,上证指数,1991/4/15,118.73,119.22,118.77,118.72,30.1,38.7,6.6873,2401.8787
000001.SH,上证指数,1991/4/16,118.36,118.77,118.34,118.34,10.5,17.72,2.3328,2413.9418
000001.SH,上证指数,1991/4/17,117.92,118.34,117.9,117.89,20.1,25.95,4.4656,2426.0048
000001.SH,上证指数,1991/4/18,117.45,117.93,117.45,117.45,17.8,13.39,3.9546,2438.0678
000001.SH,上证指数,1991/4/19,117.08,117.5,117.08,117.05,64.6,42.47,14.352,2450.1308
000001.SH,上证指数,1991/4/22,116.63,117.08,116.63,116.58,43,32.13,9.5532,2462.1938
000001.SH,上证指数,1991/4/23,116.21,116.63,116.19,116.15,28.2,26.44,6.2651,2474.2568
000001.SH,上证指数,1991/4/24,115.7,116.19,115.79,115.7,14.8,12.18,3.2881,2486.3198
000001.SH,上证指数,1991/4/25,115.38,115.79,115.36,115.33,149.5,99.89,33.2141,2499.053
000001.SH,上证指数,1991/4/26,116.31,116.31,115.56,114.52,"1,335.40",580.68,296.683,2523.8492
000001.SH,上证指数,1991/4/29,114.86,116.29,114.75,114.75,841.1,361.07,186.8654,2549.3155
000001.SH,上证指数,1991/4/30,113.89,114.87,113.94,113.89,485,273.42,107.7514,2574.7818
000001.SH,上证指数,1991/5/2,113.04,113.2,113.16,113.03,146.5,112.4,32.5476,2600.2482
000001.SH,上证指数,1991/5/3,112.46,113.17,112.41,112.3,423,238.69,93.977,2626.3847
000001.SH,上证指数,1991/5/6,111.65,112.41,111.61,111.57,276.4,142.36,61.4072,2652.5212
000001.SH,上证指数,1991/5/7,110.8,110.9,110.82,110.8,187.5,90.7,41.6565,2679.3279
000001.SH,上证指数,1991/5/8,110.16,110.82,110.03,110,42.3,37.52,9.3977,2706.1346
000001.SH,上证指数,1991/5/9,109.36,110.12,109.29,109.31,226.6,121.56,50.3432,2732.9413
000001.SH,上证指数,1991/5/10,108.61,109.4,108.53,108.53,24.9,31.32,5.532,2760.4181
000001.SH,上证指数,1991/5/13,107.88,107.88,107.84,107.74,23.5,18.23,5.2209,2787.895
000001.SH,上证指数,1991/5/14,107.21,107.84,107.19,107.06,26.7,18.54,5.9319,2816.042
000001.SH,上证指数,1991/5/15,106.56,106.6,106.57,106.42,39,30.77,8.6645,2844.189
000001.SH,上证指数,1991/5/16,105.83,105.86,105.77,105.69,310.8,144.59,69.0498,2872.336
000001.SH,上证指数,1991/5/17,105.12,106.75,106.75,104.96,"2,019.20",763.31,448.6015,2901.1532
000001.SH,上证指数,1991/5/20,107.76,107.82,107.82,106.71,86.3,92.42,19.1731,2929.9704
000001.SH,上证指数,1991/5/21,108.89,108.89,108.81,108.62,77.1,130.96,17.1291,2959.4577
000001.SH,上证指数,1991/5/22,109.71,109.82,108.25,108.11,"1,867.70",796.7,414.943,2988.9451
000001.SH,上证指数,1991/5/23,107.52,109.16,109.08,107.35,560.9,277.05,124.614,3019.1026
000001.SH,上证指数,1991/5/24,110.07,110.08,110.08,109.82,102.4,66.1,22.75,3049.2601
000001.SH,上证指数,1991/5/27,111.05,111.07,110.66,109.47,861.9,382.78,191.4865,3080.0878
000001.SH,上证指数,1991/5/28,111.61,111.68,111.68,111.36,163,97.05,36.2134,3110.9155
000001.SH,上证指数,1991/5/29,112.75,112.75,112.75,111.67,53,132.06,11.7749,3141.7432
000001.SH,上证指数,1991/5/30,113.74,113.82,113.82,112.77,38.8,75.35,8.6201,3173.241
000001.SH,上证指数,1991/5/31,114.83,114.83,114.83,113.84,121.1,147.05,26.9045,3204.7389
000001.SH,上证指数,1991/6/3,115.9,115.97,115.97,114.89,95.4,164.31,21.1948,3236.9069
000001.SH,上证指数,1991/6/4,117.12,117.12,117.12,116.83,360.3,201.86,80.0471,3269.0749
000001.SH,上证指数,1991/6/5,118.17,118.17,118.17,117.14,30.8,27.93,6.8428,3269.0749
000001.SH,上证指数,1991/6/6,119.26,119.35,119.35,118.17,26.6,16.05,5.9097,3301.9131
000001.SH,上证指数,1991/6/7,120.46,120.47,120.47,119.35,10,8.32,2.2217,3334.7513
000001.SH,上证指数,1991/6/10,121.65,121.67,121.67,120.47,40,45.89,8.8867,3368.2596
000001.SH,上证指数,1991/6/11,122.89,122.89,122.89,121.67,54.3,37.5,12.0637,3401.768
000001.SH,上证指数,1991/6/12,123.9,124.11,124.11,122.89,137.2,73.54,30.4814,3435.9465
000001.SH,上证指数,1991/6/13,125.33,125.34,125.34,123.65,"2,086.80","1,156.38",463.62,3470.125
000001.SH,上证指数,1991/6/14,124.47,126.34,124.53,124.47,663.3,354.11,147.364,3504.9737
000001.SH,上证指数,1991/6/17,125.63,125.77,125.77,123.54,693.3,405.67,154.029,3539.8224
000001.SH,上证指数,1991/6/18,127.03,127.03,127.03,126.67,203,101.51,45.1001,3575.3413
000001.SH,上证指数,1991/6/19,128.12,128.29,128.29,127.03,148.1,74.41,32.9031,3610.8601
000001.SH,上证指数,1991/6/20,129.55,129.57,129.57,129.21,229.9,132.13,51.0764,3647.0491
