,tdays,SSE_index
0,20130104,2289.51
1,20130107,2271.663
2,20130108,2284.654
3,20130109,2271.299
4,20130110,2274.377
5,20130111,2285.185
6,20130114,2236.288
7,20130115,2312.468
8,20130116,2322.158
9,20130117,2305.14
10,20130118,2295.809
11,20130121,2321.49
12,20130122,2326.49
13,20130123,2308.521
14,20130124,2320.258
15,20130125,2300.001
16,20130128,2295.352
17,20130129,2347.215
18,20130130,2360.748
19,20130131,2383.426
20,20130201,2377.414
21,20130204,2425.921
22,20130205,2411.001
23,20130206,2432.677
24,20130207,2430.688
25,20130208,2416.619
26,20130218,2441.906
27,20130219,2420.265
28,20130220,2383.493
29,20130221,2378.822
30,20130222,2322.94
31,20130225,2320.618
32,20130226,2313.74
33,20130227,2297.767
34,20130228,2322.323
35,20130301,2364.544
36,20130304,2332.08
37,20130305,2274.808
38,20130306,2333.615
39,20130307,2340.436
40,20130308,2326.417
41,20130311,2314.683
42,20130312,2309.158
43,20130313,2282.17
44,20130314,2255.775
45,20130315,2269.315
46,20130318,2267.287
47,20130319,2244.265
48,20130320,2257.737
49,20130321,2318.205
50,20130322,2321.403
51,20130325,2334.735
52,20130326,2318.578
53,20130327,2299.377
54,20130328,2273.552
55,20130329,2238.485
56,20130401,2229.46
57,20130402,2234.901
58,20130403,2232.694
59,20130408,2196.238
60,20130409,2215.467
61,20130410,2224.934
62,20130411,2236.983
63,20130412,2218.095
64,20130415,2199.914
65,20130416,2169.63
66,20130417,2195.032
67,20130418,2181.822
68,20130419,2201.122
69,20130422,2236.402
70,20130423,2242.616
71,20130424,2187.349
72,20130425,2213.185
73,20130426,2203.889
74,20130502,2170.783
75,20130503,2179.049
76,20130506,2212.495
77,20130507,2227.861
78,20130508,2242.393
79,20130509,2246.963
80,20130510,2228.819
81,20130513,2247.678
82,20130514,2238.904
83,20130515,2217.086
84,20130516,2221.337
85,20130517,2249.811
86,20130520,2286.328
87,20130521,2297.11
88,20130522,2303.75
89,20130523,2293.809
90,20130524,2281.445
91,20130527,2286.661
92,20130528,2293.4
93,20130529,2323.539
